geo_point_2d;geo_shape;osm_id;couvert;capacite;nom;acces;payant;surveille;type;insee_com;nom_com;date_modif;notes
48.96157019905252,2.3269648999999992;"{""coordinates"": [2.3269649, 48.96157019905252], ""type"": ""Point""}";n9447184676;NON;6;;privee;NON;NON;arceaux;95197;Deuil-la-Barre;2022-01-01T01:00:00+01:00;
48.77664379905129,2.290699699999999;"{""coordinates"": [2.2906997, 48.77664379905129], ""type"": ""Point""}";n4032169979;NON;8;;public;NON;NON;arceaux;92071;Sceaux;2021-03-01T01:00:00+01:00;
48.82856269905164,2.372811;"{""coordinates"": [2.372811, 48.82856269905164], ""type"": ""Point""}";n8093259578;NON;12;;public;NON;NON;arceaux;75113;13e Arrondissement;2020-12-01T01:00:00+01:00;
48.83901889905168,2.3702246999999987;"{""coordinates"": [2.3702247, 48.83901889905168], ""type"": ""Point""}";n5691502800;NON;20;;public;NON;NON;arceaux;75113;13e Arrondissement;2018-06-01T02:00:00+02:00;
48.84814769905175,2.331064;"{""coordinates"": [2.331064, 48.84814769905175], ""type"": ""Point""}";n7950464863;NON;10;;public;NON;NON;arceaux;75106;6e Arrondissement;2020-10-01T02:00:00+02:00;
48.802804899051466,2.447163099999999;"{""coordinates"": [2.4471631, 48.802804899051466], ""type"": ""Point""}";n4115037349;OUI;10;Véligo;clientele;NON;NON;abri;94046;Maisons-Alfort;2022-10-01T02:00:00+02:00;
48.867020599051884,2.3524494000000002;"{""coordinates"": [2.3524494, 48.867020599051884], ""type"": ""Point""}";n5625211992;NON;14;;public;NON;NON;arceaux;75102;2e Arrondissement;2021-09-01T02:00:00+02:00;
48.84356719905174,2.2937646000000007;"{""coordinates"": [2.2937646, 48.84356719905174], ""type"": ""Point""}";n2524860464;NON;6;;public;NON;NON;arceaux;75115;15e Arrondissement;2018-05-01T02:00:00+02:00;
48.861514999051856,2.3633526;"{""coordinates"": [2.3633526, 48.861514999051856], ""type"": ""Point""}";n2288399365;NON;22;;public;NON;NON;arceaux;75103;3e Arrondissement;2018-05-01T02:00:00+02:00;
48.85941839905184,2.3436103;"{""coordinates"": [2.3436103, 48.85941839905184], ""type"": ""Point""}";n6577534799;NON;22;;public;NON;NON;arceaux;75101;1er Arrondissement;2022-01-01T01:00:00+01:00;
48.608986699050185,2.301169;"{""coordinates"": [2.301169, 48.608986699050185], ""type"": ""Point""}";n4876117478;NON;0;Rue du Parc;public;NON;NON;inconnu;91103;Brétigny-sur-Orge;2017-05-01T02:00:00+02:00;
48.885390599052,2.3845498;"{""coordinates"": [2.3845498, 48.885390599052], ""type"": ""Point""}";n8239464256;NON;8;;public;NON;NON;autres;75119;19e Arrondissement;2020-12-01T01:00:00+01:00;
48.879944599051974,2.3319883999999993;"{""coordinates"": [2.3319884, 48.879944599051974], ""type"": ""Point""}";n10811851398;NON;26;;public;NON;NON;arceaux;75109;9e Arrondissement;2023-04-01T02:00:00+02:00;
48.81549419905155,2.3500450000000006;"{""coordinates"": [2.350045, 48.81549419905155], ""type"": ""Point""}";n6238207355;NON;10;;public;NON;NON;arceaux;94037;Gentilly;2019-01-01T01:00:00+01:00;
48.711585199050845,2.3058871000000005;"{""coordinates"": [2.3058871, 48.711585199050845], ""type"": ""Point""}";n7277749079;OUI;10;;public;NON;NON;arceaux;91161;Chilly-Mazarin;2021-06-01T02:00:00+02:00;
48.851658299051785,2.4157142000000005;"{""coordinates"": [2.4157142, 48.851658299051785], ""type"": ""Point""}";n5630745400;NON;18;;public;NON;NON;inconnu;75120;20e Arrondissement;2018-09-01T02:00:00+02:00;
48.886747199052024,2.3556835000000005;"{""coordinates"": [2.3556835, 48.886747199052024], ""type"": ""Point""}";n8919847819;NON;10;;public;NON;NON;arceaux;75118;18e Arrondissement;2021-07-01T02:00:00+02:00;
48.81270529905154,2.5095652999999993;"{""coordinates"": [2.5095653, 48.81270529905154], ""type"": ""Point""}";n2502894722;NON;6;;public;NON;NON;arceaux;94017;Champigny-sur-Marne;2019-10-01T02:00:00+02:00;
48.88263669905199,2.3242466000000004;"{""coordinates"": [2.3242466, 48.88263669905199], ""type"": ""Point""}";n10623969669;NON;10;;public;NON;NON;arceaux;75108;8e Arrondissement;2023-02-01T01:00:00+01:00;
48.87599659905194,2.2963206;"{""coordinates"": [2.2963206, 48.87599659905194], ""type"": ""Point""}";n5620640068;NON;4;;public;NON;NON;arceaux;75117;17e Arrondissement;2021-12-01T01:00:00+01:00;
48.793176799051416,2.486800399999999;"{""coordinates"": [2.4868004, 48.793176799051416], ""type"": ""Point""}";n2559599079;NON;0;;public;NON;NON;inconnu;94068;Saint-Maur-des-Fossés;2013-12-01T01:00:00+01:00;
48.88742649905202,2.1999823000000007;"{""coordinates"": [2.1999823, 48.88742649905202], ""type"": ""Point""}";n5079916006;NON;8;;public;NON;NON;arceaux;92050;Nanterre;2020-05-01T02:00:00+02:00;
48.822910899051585,2.3594354999999987;"{""coordinates"": [2.3594355, 48.822910899051585], ""type"": ""Point""}";n5628678489;NON;2;;public;NON;NON;arceaux;75113;13e Arrondissement;2018-12-01T01:00:00+01:00;
48.98942605383927,2.20881823738502;"{""coordinates"": [2.20881823738502, 48.98942605383927], ""type"": ""Point""}";w645744152;NON;28;;public;NON;NON;arceaux;95252;Franconville;2021-09-01T02:00:00+02:00;
48.864402599051864,2.3617139000000003;"{""coordinates"": [2.3617139, 48.864402599051864], ""type"": ""Point""}";n9885337418;NON;26;;public;NON;NON;arceaux;75103;3e Arrondissement;2022-11-01T01:00:00+01:00;
48.85672089905181,2.397173099999999;"{""coordinates"": [2.3971731, 48.85672089905181], ""type"": ""Point""}";n5630745383;NON;10;;public;NON;NON;arceaux;75120;20e Arrondissement;2023-03-01T01:00:00+01:00;
48.81122649905153,2.3200036;"{""coordinates"": [2.3200036, 48.81122649905153], ""type"": ""Point""}";n5028868118;NON;6;;privee;NON;NON;ratelier;92049;Montrouge;2018-09-01T02:00:00+02:00;
48.853040299051806,2.4577899999999997;"{""coordinates"": [2.45779, 48.853040299051806], ""type"": ""Point""}";n8423205208;NON;10;;public;NON;NON;arceaux;94033;Fontenay-sous-Bois;2021-02-01T01:00:00+01:00;
48.83220969905165,2.3549808999999997;"{""coordinates"": [2.3549809, 48.83220969905165], ""type"": ""Point""}";n8378822717;NON;5;;public;NON;NON;arceaux;75113;13e Arrondissement;2021-01-01T01:00:00+01:00;
48.68466599905068,2.1773808999999997;"{""coordinates"": [2.1773809, 48.68466599905068], ""type"": ""Point""}";n7476294685;NON;4;;public;NON;NON;arceaux;91692;Les Ulis;2023-03-01T01:00:00+01:00;
48.84982679905179,2.2700295999999986;"{""coordinates"": [2.2700296, 48.84982679905179], ""type"": ""Point""}";n7604956872;NON;10;;public;NON;NON;arceaux;75116;16e Arrondissement;2020-06-01T02:00:00+02:00;
